('2022-03-03 14:49:54', 28.2528895, 83.97551550000001),
('2022-03-03 14:49:55', 28.252888833333333, 83.97551550000001),
('2022-03-03 14:49:56', 28.252888, 83.97551533333332),
('2022-03-03 14:49:57', 28.252887333333334, 83.97551550000001),
('2022-03-03 14:49:58', 28.252887, 83.97551550000001),
('2022-03-03 14:49:59', 28.2528865, 83.975516),
('2022-03-03 14:50:00', 28.25288633333333, 83.97551616666667),
('2022-03-03 14:50:01', 28.252885999999997, 83.97551633333333),
('2022-03-03 14:50:02', 28.252885666666664, 83.97551633333333),
('2022-03-03 14:50:03', 28.25288533333333, 83.97551649999998),
('2022-03-03 14:50:04', 28.252885, 83.97551633333333),
('2022-03-03 14:50:05', 28.25288483333333, 83.97551649999998),
('2022-03-03 14:50:06', 28.252884499999997, 83.97551649999998),
('2022-03-03 14:50:07', 28.252884166666664, 83.97551666666668),
('2022-03-03 14:50:08', 28.252884, 83.97551666666668),
('2022-03-03 14:50:09', 28.25288366666667, 83.97551666666668),
('2022-03-03 14:50:10', 28.2528835, 83.97551683333334),
('2022-03-03 14:50:11', 28.25288333333333, 83.97551700000001),
('2022-03-03 14:50:12', 28.252882999999997, 83.97551716666666),
('2022-03-03 14:50:13', 28.252882833333334, 83.97551733333333),
('2022-03-03 14:50:14', 28.252882833333334, 83.97551716666666),
('2022-03-03 14:50:15', 28.252882500000002, 83.9755175),
('2022-03-03 14:50:16', 28.25288216666667, 83.97551783333334),
('2022-03-03 14:50:17', 28.252882, 83.97551783333334),
('2022-03-03 14:50:18', 28.252881666666667, 83.97551800000001),
('2022-03-03 14:50:19', 28.252881499999997, 83.97551800000001),
('2022-03-03 14:50:20', 28.252881499999997, 83.97551849999999),
('2022-03-03 14:50:21', 28.252881499999997, 83.97551883333333),
('2022-03-03 14:50:22', 28.252881499999997, 83.97551916666667),
('2022-03-03 14:50:23', 28.252881499999997, 83.9755195),
('2022-03-03 14:50:24', 28.252881333333335, 83.97551983333332),
('2022-03-03 14:50:25', 28.252881499999997, 83.97551999999999),
('2022-03-03 14:50:26', 28.252881666666667, 83.97551983333332),
('2022-03-03 14:50:27', 28.25288183333333, 83.97551983333332),
('2022-03-03 14:50:28', 28.25288216666667, 83.97551966666667),
('2022-03-03 14:50:29', 28.252882333333332, 83.9755195),
('2022-03-03 14:50:30', 28.25288216666667, 83.97551933333334),
('2022-03-03 14:50:31', 28.252882333333332, 83.97551916666667),
('2022-03-03 14:50:32', 28.252883166666667, 83.97551833333334),
('2022-03-03 14:50:33', 28.2528835, 83.97551783333334),
('2022-03-03 14:50:34', 28.25288366666667, 83.97551733333333),
('2022-03-03 14:50:35', 28.25288333333333, 83.97551733333333),
('2022-03-03 14:50:36', 28.25288333333333, 83.97551733333333),
('2022-03-03 14:50:37', 28.252882999999997, 83.97551716666666),
('2022-03-03 14:50:38', 28.252882666666665, 83.97551733333333),
('2022-03-03 14:50:39', 28.25288216666667, 83.97551716666666),
('2022-03-03 14:50:40', 28.25288183333333, 83.97551766666666),
('2022-03-03 14:50:41', 28.252881499999997, 83.97551783333334),
('2022-03-03 14:50:42', 28.2528805, 83.9755195),
('2022-03-03 14:50:43', 28.252879833333335, 83.97552066666667),
