('2022-02-27 12:21:41', 28.25574166666667, 83.976709 , 19.5, 6.9, 25.7, 37.1 ),
('2022-02-27 12:21:48', 28.2558015, 83.97678016666666 , 20.1, 7.1, 25.3, 36.1 ),
('2022-02-27 12:21:53', 28.255846, 83.976836 , 19.7, 6.9, 25.0, 35.8 ),
('2022-02-27 12:21:58', 28.2558815, 83.97688416666666 , 22.4, 7.0, 25.1, 36.0 ),
('2022-02-27 12:22:03', 28.255914833333335, 83.97692983333333 , 21.3, 7.1, 25.1, 36.0 ),
('2022-02-27 12:22:08', 28.255962999999998, 83.97696733333332 , 21.1, 7.1, 25.2, 36.3 ),
('2022-02-27 12:22:13', 28.2560195, 83.977002 , 21.5, 7.4, 24.8, 36.8 ),
('2022-02-27 12:22:19', 28.256078666666667, 83.97706166666667 , 21.7, 11.6, 24.6, 38.0 ),
('2022-02-27 12:22:24', 28.2561225, 83.97711416666668 , 22.4, 11.7, 24.4, 38.4 ),
('2022-02-27 12:22:29', 28.256165666666668, 83.97716316666668 , 21.1, 11.6, 24.3, 38.3 ),
('2022-02-27 12:22:34', 28.256208333333333, 83.97721333333332 , 20.3, 11.8, 24.3, 39.0 ),
('2022-02-27 12:22:40', 28.256262333333332, 83.977279 , 24.4, 12.4, 24.1, 39.6 ),
('2022-02-27 12:22:46', 28.256312, 83.97734216666667 , 23.5, 10.2, 23.9, 40.2 ),
('2022-02-27 12:22:51', 28.25635333333333, 83.97739666666666 , 22.6, 7.9, 23.8, 40.1 ),
('2022-02-27 12:22:56', 28.25639266666667, 83.97744683333333 , 25.9, 8.1, 23.7, 40.2 ),
('2022-02-27 12:23:01', 28.256427833333337, 83.9775005 , 27.2, 8.5, 23.4, 40.1 ),
('2022-02-27 12:23:07', 28.25647066666667, 83.97754966666668 , 27.8, 7.8, 23.3, 39.3 ),
('2022-02-27 12:23:12', 28.256522166666667, 83.977578 , 24.6, 7.4, 23.2, 39.0 ),
('2022-02-27 12:23:18', 28.25656933333333, 83.97763633333334 , 28.9, 7.8, 23.3, 39.0 ),
('2022-02-27 12:23:23', 28.25662933333333, 83.97766316666666 , 30.5, 8.3, 23.7, 38.7 ),
('2022-02-27 12:23:30', 28.256704, 83.97764816666668 , 34.5, 8.7, 23.6, 38.7 ),
('2022-02-27 12:23:35', 28.256757999999998, 83.97760783333334 , 64.9, 12.0, 23.6, 38.7 ),
('2022-02-27 12:23:40', 28.25681516666667, 83.97758333333334 , 92.1, 14.7, 23.7, 38.7 ),
('2022-02-27 12:23:45', 28.25686633333333, 83.9775615 , 106.1, 16.4, 23.5, 38.7 ),
('2022-02-27 12:23:50', 28.256915166666666, 83.97753683333333 , 106.5, 16.4, 23.4, 39.3 ),
('2022-02-27 12:23:55', 28.256964999999997, 83.97750849999998 , 122.0, 17.8, 23.3, 39.5 ),
('2022-02-27 12:24:00', 28.257012166666662, 83.97748066666666 , 127.4, 18.4, 23.3, 39.1 ),
('2022-02-27 12:24:05', 28.257063000000002, 83.97744883333334 , 104.5, 15.5, 23.3, 39.1 ),
('2022-02-27 12:24:10', 28.25711533333333, 83.97741883333335 , 85.4, 13.6, 23.2, 39.5 ),
('2022-02-27 12:24:16', 28.257180333333334, 83.97738633333331 , 73.7, 12.3, 23.0, 38.2 ),
('2022-02-27 12:24:21', 28.257232, 83.97736283333333 , 66.2, 11.8, 23.0, 37.6 ),
('2022-02-27 12:24:26', 28.257283833333336, 83.97733099999999 , 55.4, 10.2, 22.9, 37.5 ),
('2022-02-27 12:24:32', 28.257346833333333, 83.97729550000001 , 47.8, 9.5, 23.0, 37.7 ),
('2022-02-27 12:24:37', 28.257399333333336, 83.97725883333332 , 46.9, 9.0, 22.8, 38.5 ),
('2022-02-27 12:24:43', 28.2574545, 83.97721133333334 , 39.5, 8.1, 22.8, 38.5 ),
('2022-02-27 12:24:48', 28.257499666666664, 83.97717133333332 , 39.8, 7.9, 22.7, 38.1 ),
('2022-02-27 12:24:53', 28.257546666666666, 83.97713399999999 , 41.2, 7.9, 22.7, 38.5 ),
('2022-02-27 12:24:58', 28.257589833333334, 83.97709549999999 , 37.4, 8.1, 22.8, 39.3 ),
('2022-02-27 12:25:03', 28.25764033333333, 83.97705783333335 , 42.3, 8.3, 22.8, 40.3 ),
('2022-02-27 12:25:08', 28.257687499999996, 83.97701983333333 , 59.8, 9.1, 22.7, 39.6 ),
('2022-02-27 12:25:13', 28.257734833333334, 83.97698233333334 , 84.0, 10.3, 22.7, 39.1 ),
('2022-02-27 12:25:21', 28.257811833333335, 83.97692916666668 , 96.3, 11.3, 22.7, 39.1 ),
('2022-02-27 12:25:27', 28.25786683333333, 83.976889 , 100.1, 11.4, 22.7, 39.2 ),
('2022-02-27 12:25:33', 28.257923833333333, 83.97685616666668 , 92.6, 11.1, 22.6, 39.3 ),
('2022-02-27 12:25:38', 28.257973999999997, 83.976837 , 74.6, 10.1, 22.5, 39.0 ),
('2022-02-27 12:25:44', 28.258034833333333, 83.97680983333333 , 48.7, 9.0, 22.5, 39.0 ),
('2022-02-27 12:25:49', 28.258082666666663, 83.97679166666667 , 39.7, 8.0, 22.3, 39.9 ),
('2022-02-27 12:25:56', 28.258156999999997, 83.97675983333332 , 34.8, 7.5, 22.0, 39.5 ),
('2022-02-27 12:26:04', 28.258248000000002, 83.97672316666667 , 25.9, 7.4, 22.0, 39.5 ),
('2022-02-27 12:26:09', 28.258302000000004, 83.976689 , 25.3, 7.8, 21.7, 40.4 ),
('2022-02-27 12:26:15', 28.258362, 83.97664466666666 , 25.2, 8.1, 21.7, 40.6 ),
('2022-02-27 12:26:22', 28.258425666666668, 83.97658733333334 , 27.4, 8.4, 21.6, 42.4 ),
('2022-02-27 12:26:27', 28.258477500000005, 83.97655000000002 , 39.7, 9.1, 21.7, 42.4 ),
('2022-02-27 12:26:33', 28.258536666666668, 83.97649933333332 , 44.3, 9.0, 21.7, 42.3 ),
('2022-02-27 12:26:38', 28.258581166666666, 83.97645849999999 , 60.6, 11.1, 21.7, 41.7 ),
('2022-02-27 12:26:44', 28.25864316666667, 83.97640283333334 , 106.2, 21.1, 21.8, 41.5 ),
('2022-02-27 12:26:49', 28.25869416666667, 83.97636333333334 , 129.0, 24.1, 21.9, 42.0 ),
('2022-02-27 12:26:55', 28.2587525, 83.97631150000001 , 128.4, 25.0, 22.0, 41.4 ),
('2022-02-27 12:27:02', 28.258823999999997, 83.97626149999999 , 129.7, 26.2, 22.1, 42.0 ),
('2022-02-27 12:27:07', 28.258884166666668, 83.9762325 , 135.0, 27.1, 22.1, 42.2 ),
('2022-02-27 12:27:12', 28.258936666666667, 83.97618716666666 , 125.4, 20.7, 22.2, 42.5 ),
('2022-02-27 12:27:17', 28.25898666666667, 83.97614833333334 , 105.3, 16.4, 22.3, 42.2 ),
('2022-02-27 12:27:24', 28.2590465, 83.97610083333332 , 115.2, 16.3, 22.4, 41.7 ),
('2022-02-27 12:27:29', 28.259090999999998, 83.97606283333334 , 120.5, 16.3, 22.5, 41.6 ),
('2022-02-27 12:27:34', 28.259129500000004, 83.976026 , 118.1, 15.7, 22.5, 43.6 ),
